            ASDEX Upgrade toroidal field coils         
            ----------------------------------         
 main_symmetry:              'stellarator symmetry'    
 number of possible periods:  np_mpos                  
                                5                      
 possible period numbers:     mpo(i=1,np_mpos)         
                                1   2   4   8   16     
    nspul_main    iseg_main   np_main                  
         4            106             16     
x [m]           y [m]             z [m]           I [MA]
 2.978703     0.004000    -0.000166     0.300000    
 2.977117     0.004000     0.076724     0.300000    
 2.972359     0.004000     0.153459     0.300000    
 2.964446     0.004000     0.229828     0.300000    
 2.953407     0.004000     0.305660     0.300000    
 2.939236     0.004000     0.381066     0.300000    
 2.921969     0.004000     0.455809     0.300000    
 2.901637     0.004000     0.529768     0.300000    
 2.878239     0.004000     0.602928     0.300000    
 2.878267     0.004000     0.602821     0.300000    
 2.851048     0.004000     0.676805     0.300000    
 2.820561     0.004000     0.749466     0.300000    
 2.786846     0.004000     0.820708     0.300000    
 2.749983     0.004000     0.890359     0.300000    
 2.710041     0.004000     0.958296     0.300000    
 2.667098     0.004000     1.024382     0.300000    
 2.621246     0.004000     1.088475     0.300000    
 2.621325     0.004000     1.088361     0.300000    
 2.569558     0.004000     1.153787     0.300000    
 2.514512     0.004000     1.216350     0.300000    
 2.456292     0.004000     1.275947     0.300000    
 2.395037     0.004000     1.332434     0.300000    
 2.330916     0.004000     1.385655     0.300000    
 2.264094     0.004000     1.435469     0.300000    
 2.264268     0.004000     1.435361     0.300000    
 2.191485     0.004000     1.483384     0.300000    
 2.115917     0.004000     1.526700     0.300000    
 2.037807     0.004000     1.565183     0.300000    
 1.957445     0.004000     1.598691     0.300000    
 1.875100     0.004000     1.627112     0.300000    
 1.875247     0.004000     1.627057     0.300000    
 1.786225     0.004000     1.650914     0.300000    
 1.695716     0.004000     1.667703     0.300000    
 1.604194     0.004000     1.677353     0.300000    
 1.512205     0.004000     1.679808     0.300000    
 1.512399     0.004000     1.679810     0.300000    
 1.435683     0.004000     1.675838     0.300000    
 1.359681     0.004000     1.665871     0.300000    
 1.284676     0.004000     1.649960     0.300000    
 1.211122     0.004000     1.628196     0.300000    
 1.211447     0.004000     1.628325     0.300000    
 1.132102     0.004000     1.596707     0.300000    
 1.056659     0.004000     1.557047     0.300000    
 0.985771     0.004000     1.509710     0.300000    
 0.986048     0.004000     1.509936     0.300000    
 0.903827     0.004000     1.437821     0.300000    
 0.834138     0.004000     1.353854     0.300000    
 0.834460     0.004000     1.354342     0.300000    
 0.784932     0.004000     1.270864     0.300000    
 0.749159     0.004000     1.180692     0.300000    
 0.749252     0.004000     1.181087     0.300000    
 0.730037     0.004000     1.096822     0.300000    
 0.723590     0.004000     1.010510     0.300000    
 0.723590     0.004000    -1.010510     0.300000    
 0.730037     0.004000    -1.096822     0.300000    
 0.749252     0.004000    -1.181087     0.300000    
 0.749159     0.004000    -1.180692     0.300000    
 0.784932     0.004000    -1.270864     0.300000    
 0.834460     0.004000    -1.354342     0.300000    
 0.834138     0.004000    -1.353854     0.300000    
 0.903827     0.004000    -1.437821     0.300000    
 0.986048     0.004000    -1.509936     0.300000    
 0.985771     0.004000    -1.509710     0.300000    
 1.056659     0.004000    -1.557047     0.300000    
 1.132102     0.004000    -1.596707     0.300000    
 1.211447     0.004000    -1.628325     0.300000    
 1.211122     0.004000    -1.628196     0.300000    
 1.284676     0.004000    -1.649960     0.300000    
 1.359681     0.004000    -1.665871     0.300000    
 1.435683     0.004000    -1.675838     0.300000    
 1.512399     0.004000    -1.679810     0.300000    
 1.512205     0.004000    -1.679808     0.300000    
 1.604194     0.004000    -1.677353     0.300000    
 1.695716     0.004000    -1.667703     0.300000    
 1.786225     0.004000    -1.650914     0.300000    
 1.875247     0.004000    -1.627057     0.300000    
 1.875100     0.004000    -1.627112     0.300000    
 1.957445     0.004000    -1.598691     0.300000    
 2.037807     0.004000    -1.565183     0.300000    
 2.115917     0.004000    -1.526700     0.300000    
 2.191485     0.004000    -1.483384     0.300000    
 2.264268     0.004000    -1.435361     0.300000    
 2.264094     0.004000    -1.435469     0.300000    
 2.330916     0.004000    -1.385655     0.300000    
 2.395037     0.004000    -1.332434     0.300000    
 2.456292     0.004000    -1.275947     0.300000    
 2.514512     0.004000    -1.216350     0.300000    
 2.569558     0.004000    -1.153787     0.300000    
 2.621325     0.004000    -1.088361     0.300000    
 2.621246     0.004000    -1.088475     0.300000    
 2.667098     0.004000    -1.024382     0.300000    
 2.710041     0.004000    -0.958296     0.300000    
 2.749983     0.004000    -0.890359     0.300000    
 2.786846     0.004000    -0.820708     0.300000    
 2.820561     0.004000    -0.749466     0.300000    
 2.851048     0.004000    -0.676805     0.300000    
 2.878267     0.004000    -0.602821     0.300000    
 2.878239     0.004000    -0.602928     0.300000    
 2.901637     0.004000    -0.529768     0.300000    
 2.921969     0.004000    -0.455809     0.300000    
 2.939236     0.004000    -0.381066     0.300000    
 2.953407     0.004000    -0.305660     0.300000    
 2.964446     0.004000    -0.229828     0.300000    
 2.972359     0.004000    -0.153459     0.300000    
 2.977117     0.004000    -0.076724     0.300000    
 2.978703     0.004000    -0.000166     0.000000    
 2.978703    -0.006000    -0.000166     0.300000    
 2.977117    -0.006000     0.076724     0.300000    
 2.972359    -0.006000     0.153459     0.300000    
 2.964446    -0.006000     0.229828     0.300000    
